"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.178.54.106","192.168.88.132","UDP","68","443  >  58715 Len=26"
"2","0.532292","192.168.88.132","204.79.197.203","TCP","55","50160  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"3","0.574532","204.79.197.203","192.168.88.132","TCP","66","443  >  50160 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2"
"4","0.778989","204.79.197.203","192.168.88.132","TCP","54","443  >  52129 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","0.836945","192.168.88.132","104.26.1.50","TCP","55","56948  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"6","0.841411","104.26.1.50","192.168.88.132","TCP","66","443  >  56948 [ACK] Seq=1 Ack=2 Win=17 Len=0 SLE=1 SRE=2"
"7","0.892529","192.168.88.137","224.0.0.251","MDNS","103","Standard query 0x000d PTR _googlecast._tcp.local, ""QM"" question PTR _CC1AD845._sub._googlecast._tcp.local, ""QM"" question"
"8","1.173436","192.168.88.132","150.171.27.11","TCP","55","64813  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"9","1.412896","150.171.27.11","192.168.88.132","TCP","66","443  >  64813 [ACK] Seq=1 Ack=2 Win=16380 Len=0 SLE=1 SRE=2"
"10","1.666574","192.168.88.132","104.208.16.88","TCP","54","59900  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"11","1.863730","192.168.88.132","102.132.104.21","TLSv1.2","86","Application Data"
"12","2.130962","102.132.104.21","192.168.88.132","TCP","54","443  >  62359 [ACK] Seq=1 Ack=33 Win=311 Len=0"
"13","2.130962","102.132.104.21","192.168.88.132","TLSv1.2","82","Application Data"
"14","2.183321","192.168.88.132","102.132.104.21","TCP","54","62359  >  443 [ACK] Seq=33 Ack=29 Win=253 Len=0"
"15","2.280033","192.168.88.132","23.196.227.230","UDP","71","63752  >  443 Len=29"
"16","2.357473","23.196.227.230","192.168.88.132","UDP","68","443  >  63752 Len=26"
"17","2.376026","192.168.88.132","197.149.58.233","TCP","55","57479  >  443 [ACK] Seq=1 Ack=1 Win=509 Len=1"
"18","2.380946","197.149.58.233","192.168.88.132","TCP","66","443  >  57479 [ACK] Seq=1 Ack=2 Win=1999 Len=0 SLE=1 SRE=2"
"19","2.650414","192.168.88.132","104.16.80.73","TCP","55","54579  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"20","2.650475","192.168.88.132","104.16.80.73","TCP","55","52213  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"21","2.659110","104.16.80.73","192.168.88.132","TCP","66","443  >  54579 [ACK] Seq=1 Ack=2 Win=17 Len=0 SLE=1 SRE=2"
"22","2.659110","104.16.80.73","192.168.88.132","TCP","66","443  >  52213 [ACK] Seq=1 Ack=2 Win=17 Len=0 SLE=1 SRE=2"
"23","2.689602","142.251.47.110","192.168.88.132","TLSv1.2","127","Application Data"
"24","2.690297","192.168.88.132","142.251.47.110","TCP","54","52705  >  443 [FIN, ACK] Seq=1 Ack=74 Win=511 Len=0"
"25","2.737106","142.251.47.110","192.168.88.132","TCP","54","443  >  52705 [FIN, ACK] Seq=74 Ack=2 Win=1037 Len=0"
"26","2.737246","192.168.88.132","142.251.47.110","TCP","54","52705  >  443 [ACK] Seq=2 Ack=75 Win=511 Len=0"
